datetime_utc,datetime_local,consumed_co2_rate_kg_per_mwh_for_electricity,consumed_ch4_rate_kg_per_mwh_for_electricity,consumed_n2o_rate_kg_per_mwh_for_electricity,consumed_co2e_rate_kg_per_mwh_for_electricity,consumed_nox_rate_kg_per_mwh_for_electricity,consumed_so2_rate_kg_per_mwh_for_electricity,consumed_co2_rate_kg_per_mwh_for_electricity_adjusted,consumed_ch4_rate_kg_per_mwh_for_electricity_adjusted,consumed_n2o_rate_kg_per_mwh_for_electricity_adjusted,consumed_co2e_rate_kg_per_mwh_for_electricity_adjusted,consumed_nox_rate_kg_per_mwh_for_electricity_adjusted,consumed_so2_rate_kg_per_mwh_for_electricity_adjusted
2023-01-01 06:00:00+00:00,2023-01-01 00:00:00-06:00,188.46,0.0131,0.00183,189.33,0.157,0.085,188.14,0.0131,0.00183,189.01,0.157,0.085
2023-01-01 07:00:00+00:00,2023-01-01 01:00:00-06:00,186.71,0.0128,0.00179,187.56,0.165,0.084,186.39,0.0128,0.00179,187.24,0.164,0.084
2023-01-01 08:00:00+00:00,2023-01-01 02:00:00-06:00,189.34,0.013,0.00182,190.2,0.165,0.087,189.01,0.013,0.00182,189.87,0.165,0.087
2023-01-01 09:00:00+00:00,2023-01-01 03:00:00-06:00,192.87,0.0132,0.00185,193.74,0.17,0.087,192.54,0.0132,0.00185,193.41,0.169,0.087
2023-01-01 10:00:00+00:00,2023-01-01 04:00:00-06:00,194.11,0.0132,0.00184,194.98,0.172,0.088,193.77,0.0132,0.00184,194.64,0.172,0.088
2023-01-01 11:00:00+00:00,2023-01-01 05:00:00-06:00,197.3,0.0132,0.00184,198.17,0.172,0.089,196.97,0.0132,0.00184,197.84,0.172,0.089
2023-01-01 12:00:00+00:00,2023-01-01 06:00:00-06:00,208.8,0.0139,0.00194,209.72,0.171,0.1,208.47,0.0139,0.00194,209.39,0.171,0.1
2023-01-01 13:00:00+00:00,2023-01-01 07:00:00-06:00,231.65,0.0155,0.00215,232.67,0.183,0.12,231.33,0.0155,0.00215,232.35,0.183,0.12
2023-01-01 14:00:00+00:00,2023-01-01 08:00:00-06:00,244.49,0.0165,0.0023,245.58,0.185,0.134,244.17,0.0165,0.0023,245.26,0.185,0.134
2023-01-01 15:00:00+00:00,2023-01-01 09:00:00-06:00,235.92,0.0156,0.00217,236.94,0.179,0.127,235.6,0.0156,0.00216,236.63,0.179,0.127
2023-01-01 16:00:00+00:00,2023-01-01 10:00:00-06:00,261.62,0.017,0.00235,262.74,0.186,0.137,261.31,0.0169,0.00235,262.43,0.186,0.137
2023-01-01 17:00:00+00:00,2023-01-01 11:00:00-06:00,273.6,0.0175,0.00243,274.75,0.199,0.126,273.29,0.0175,0.00243,274.44,0.199,0.126
2023-01-01 18:00:00+00:00,2023-01-01 12:00:00-06:00,266.73,0.0167,0.00231,267.83,0.204,0.114,266.43,0.0167,0.00231,267.52,0.204,0.114
2023-01-01 19:00:00+00:00,2023-01-01 13:00:00-06:00,284.7,0.0178,0.00247,285.87,0.214,0.128,284.4,0.0178,0.00247,285.57,0.214,0.128
2023-01-01 20:00:00+00:00,2023-01-01 14:00:00-06:00,292.59,0.0182,0.00252,293.79,0.224,0.136,292.29,0.0182,0.00252,293.49,0.224,0.136
2023-01-01 21:00:00+00:00,2023-01-01 15:00:00-06:00,293.83,0.018,0.00249,295.01,0.214,0.138,293.54,0.018,0.00249,294.72,0.214,0.138
2023-01-01 22:00:00+00:00,2023-01-01 16:00:00-06:00,317.56,0.0199,0.00275,318.86,0.222,0.171,317.27,0.0199,0.00275,318.57,0.222,0.171
2023-01-01 23:00:00+00:00,2023-01-01 17:00:00-06:00,332.74,0.0211,0.00292,334.13,0.243,0.168,332.45,0.0211,0.00292,333.83,0.242,0.168
2023-01-02 00:00:00+00:00,2023-01-01 18:00:00-06:00,281.44,0.0177,0.00246,282.6,0.196,0.128,281.16,0.0177,0.00245,282.32,0.196,0.128
2023-01-02 01:00:00+00:00,2023-01-01 19:00:00-06:00,233.24,0.0147,0.00204,234.21,0.17,0.1,232.96,0.0147,0.00204,233.93,0.17,0.1
2023-01-02 02:00:00+00:00,2023-01-01 20:00:00-06:00,223.08,0.0144,0.002,224.03,0.161,0.104,222.8,0.0144,0.002,223.75,0.161,0.104
2023-01-02 03:00:00+00:00,2023-01-01 21:00:00-06:00,208.63,0.0145,0.00202,209.59,0.142,0.094,208.34,0.0145,0.00202,209.29,0.142,0.094
2023-01-02 04:00:00+00:00,2023-01-01 22:00:00-06:00,191.61,0.0139,0.00196,192.54,0.137,0.087,191.31,0.0139,0.00196,192.24,0.137,0.087
2023-01-02 05:00:00+00:00,2023-01-01 23:00:00-06:00,182.9,0.0129,0.00181,183.76,0.15,0.082,182.59,0.0129,0.00181,183.45,0.15,0.082
2023-01-02 06:00:00+00:00,2023-01-02 00:00:00-06:00,184.06,0.0129,0.00181,184.91,0.154,0.086,183.74,0.0129,0.00181,184.59,0.154,0.086
2023-01-02 07:00:00+00:00,2023-01-02 01:00:00-06:00,185.74,0.0129,0.00181,186.59,0.157,0.096,185.41,0.0129,0.00181,186.27,0.157,0.096
2023-01-02 08:00:00+00:00,2023-01-02 02:00:00-06:00,188.18,0.0131,0.00183,189.05,0.159,0.097,187.86,0.0131,0.00183,188.72,0.159,0.097
2023-01-02 09:00:00+00:00,2023-01-02 03:00:00-06:00,190.99,0.0132,0.00185,191.87,0.159,0.096,190.66,0.0132,0.00185,191.53,0.159,0.096
2023-01-02 10:00:00+00:00,2023-01-02 04:00:00-06:00,191.36,0.0132,0.00185,192.24,0.159,0.097,191.03,0.0132,0.00185,191.9,0.159,0.097
2023-01-02 11:00:00+00:00,2023-01-02 05:00:00-06:00,192.83,0.0132,0.00185,193.7,0.158,0.098,192.5,0.0132,0.00185,193.37,0.157,0.098
2023-01-02 12:00:00+00:00,2023-01-02 06:00:00-06:00,191.27,0.0128,0.00179,192.12,0.16,0.095,190.96,0.0128,0.00179,191.8,0.159,0.095
2023-01-02 13:00:00+00:00,2023-01-02 07:00:00-06:00,197.57,0.013,0.00181,198.43,0.158,0.105,197.27,0.013,0.00181,198.13,0.158,0.105
2023-01-02 14:00:00+00:00,2023-01-02 08:00:00-06:00,222.76,0.0149,0.00207,223.74,0.165,0.137,222.46,0.0148,0.00207,223.44,0.164,0.137
2023-01-02 15:00:00+00:00,2023-01-02 09:00:00-06:00,228.44,0.015,0.00209,229.43,0.162,0.109,228.16,0.015,0.00209,229.14,0.161,0.109
2023-01-02 16:00:00+00:00,2023-01-02 10:00:00-06:00,231.65,0.0154,0.00214,232.67,0.157,0.111,231.37,0.0154,0.00214,232.39,0.157,0.111
2023-01-02 17:00:00+00:00,2023-01-02 11:00:00-06:00,227.04,0.0151,0.00211,228.04,0.155,0.113,226.77,0.0151,0.00211,227.76,0.155,0.113
2023-01-02 18:00:00+00:00,2023-01-02 12:00:00-06:00,208.65,0.014,0.00195,209.58,0.143,0.107,208.38,0.014,0.00195,209.3,0.143,0.107
2023-01-02 19:00:00+00:00,2023-01-02 13:00:00-06:00,207.84,0.0136,0.0019,208.74,0.141,0.106,207.57,0.0136,0.0019,208.47,0.14,0.106
2023-01-02 20:00:00+00:00,2023-01-02 14:00:00-06:00,209.16,0.0138,0.00192,210.07,0.14,0.11,208.9,0.0138,0.00192,209.81,0.14,0.11
2023-01-02 21:00:00+00:00,2023-01-02 15:00:00-06:00,216.76,0.0146,0.00203,217.73,0.142,0.117,216.5,0.0146,0.00203,217.46,0.142,0.117
2023-01-02 22:00:00+00:00,2023-01-02 16:00:00-06:00,219.78,0.0149,0.00208,220.77,0.147,0.12,219.52,0.0149,0.00208,220.5,0.146,0.12
2023-01-02 23:00:00+00:00,2023-01-02 17:00:00-06:00,231.0,0.0155,0.00217,232.02,0.155,0.125,230.74,0.0155,0.00217,231.76,0.155,0.125
2023-01-03 00:00:00+00:00,2023-01-02 18:00:00-06:00,260.26,0.0183,0.00256,261.47,0.18,0.165,260.01,0.0183,0.00256,261.22,0.179,0.165
2023-01-03 01:00:00+00:00,2023-01-02 19:00:00-06:00,267.75,0.0188,0.00264,268.99,0.182,0.164,267.48,0.0188,0.00264,268.73,0.181,0.164
2023-01-03 02:00:00+00:00,2023-01-02 20:00:00-06:00,264.18,0.0185,0.00258,265.4,0.179,0.156,263.91,0.0185,0.00258,265.13,0.178,0.156
2023-01-03 03:00:00+00:00,2023-01-02 21:00:00-06:00,256.73,0.0178,0.0025,257.91,0.167,0.153,256.45,0.0178,0.0025,257.63,0.167,0.153
2023-01-03 04:00:00+00:00,2023-01-02 22:00:00-06:00,233.78,0.0162,0.00227,234.85,0.156,0.128,233.5,0.0162,0.00227,234.57,0.155,0.128
2023-01-03 05:00:00+00:00,2023-01-02 23:00:00-06:00,209.47,0.0147,0.00205,210.44,0.152,0.11,209.17,0.0147,0.00205,210.14,0.152,0.11
2023-01-03 06:00:00+00:00,2023-01-03 00:00:00-06:00,199.73,0.0143,0.002,200.67,0.152,0.103,199.41,0.0143,0.002,200.35,0.152,0.103
2023-01-03 07:00:00+00:00,2023-01-03 01:00:00-06:00,196.02,0.0139,0.00195,196.94,0.161,0.097,195.68,0.0139,0.00195,196.61,0.161,0.097
2023-01-03 08:00:00+00:00,2023-01-03 02:00:00-06:00,196.23,0.0137,0.00192,197.14,0.16,0.097,195.89,0.0137,0.00192,196.8,0.16,0.097
2023-01-03 09:00:00+00:00,2023-01-03 03:00:00-06:00,197.21,0.0136,0.00189,198.1,0.159,0.103,196.87,0.0135,0.00189,197.76,0.159,0.103
2023-01-03 10:00:00+00:00,2023-01-03 04:00:00-06:00,205.74,0.0138,0.00192,206.65,0.164,0.11,205.4,0.0138,0.00192,206.31,0.164,0.11
2023-01-03 11:00:00+00:00,2023-01-03 05:00:00-06:00,223.64,0.0144,0.002,224.59,0.172,0.108,223.32,0.0144,0.00199,224.26,0.172,0.108
2023-01-03 12:00:00+00:00,2023-01-03 06:00:00-06:00,248.33,0.0154,0.00213,249.34,0.181,0.112,248.02,0.0154,0.00213,249.03,0.18,0.112
2023-01-03 13:00:00+00:00,2023-01-03 07:00:00-06:00,269.27,0.0165,0.00228,270.35,0.185,0.123,268.98,0.0165,0.00228,270.06,0.185,0.123
2023-01-03 14:00:00+00:00,2023-01-03 08:00:00-06:00,268.8,0.0168,0.00233,269.9,0.183,0.128,268.5,0.0168,0.00233,269.6,0.183,0.128
2023-01-03 15:00:00+00:00,2023-01-03 09:00:00-06:00,294.05,0.019,0.00264,295.31,0.204,0.176,293.75,0.019,0.00264,295.01,0.204,0.176
2023-01-03 16:00:00+00:00,2023-01-03 10:00:00-06:00,281.34,0.0175,0.00242,282.49,0.204,0.157,281.03,0.0175,0.00242,282.18,0.204,0.157
2023-01-03 17:00:00+00:00,2023-01-03 11:00:00-06:00,272.02,0.0167,0.0023,273.11,0.191,0.141,271.72,0.0167,0.0023,272.81,0.191,0.141
